Window_Idx,PDR,Max_Burst
1378,0.93,1
1379,0.92,1
1380,0.83,1
1381,0.93,2
1382,0.87,2
1383,0.93,1
1384,0.88,3
1385,0.79,3
1386,0.81,3
1387,0.9,1
1388,0.88,1
1389,0.91,1
1390,0.9,1
1391,0.88,1
1392,0.9,1
1393,0.89,1
1394,0.89,1
1395,0.9,1
1396,0.97,1
1397,0.91,2
1398,0.89,1
1399,0.91,1
1400,0.93,1
1401,0.89,1
1402,0.89,1
1403,0.87,1
1404,0.87,2
1405,0.91,1
1406,0.89,1
1407,0.87,1
1408,0.91,1
1409,0.95,1
1410,0.92,1
1411,0.91,1
1412,0.95,1
1413,0.9,3
1414,0.82,2
1415,0.91,3
1416,0.85,2
1417,0.96,1
1418,0.92,1
1419,0.8,2
1420,0.88,3
1421,0.91,1
1422,0.9,2
1423,0.88,1
1424,0.9,1
1425,0.91,1
1426,0.87,2
1427,0.89,3
1428,0.95,1
1429,0.83,3
1430,0.92,2
1431,0.95,1
1432,0.89,3
1433,0.86,2
1434,0.95,1
1435,0.75,6
1436,0.95,2
1437,0.87,2
1438,0.88,2
1439,0.89,1
1440,0.91,2
1441,0.91,2
1442,0.93,1
1443,0.97,1
1444,0.96,1
1445,0.93,2
1446,0.85,1
1447,0.87,4
1448,0.86,2
1449,0.95,2
1450,0.9,2
1451,0.94,1
1452,0.92,1
1453,0.95,2
1454,0.88,2
1455,0.89,2
1456,0.93,1
1457,0.87,1
1458,0.93,1
1459,0.9,1
1460,0.89,1
1461,0.92,1
1462,0.92,1
1463,0.93,2
1464,0.88,2
1465,0.88,1
1466,0.91,1
1467,0.88,2
1468,0.88,3
1469,0.87,2
1470,0.9,1
1471,0.86,2
1472,0.88,2
1473,0.92,1
1474,0.89,2
1475,0.92,2
1476,0.89,2
1477,0.88,1
1478,0.85,3
1479,0.92,1
1480,0.92,1
1481,0.9,1
1482,0.89,2
1483,0.88,1
1484,0.94,1
1485,0.9,2
1486,0.9,2
1487,0.91,1
1488,0.94,1
1489,0.94,1
1490,0.87,1
1491,0.89,2
1492,0.94,1
1493,0.93,2
1494,0.87,2
1495,0.88,1
1496,0.9,1
1497,0.89,1
1498,0.9,1
1499,0.87,1
1500,0.89,1
1501,0.87,1
1502,0.89,2
1503,0.88,1
1504,0.89,1
1505,0.86,1
1506,0.87,1
1507,0.74,15
1508,0.88,1
1509,0.67,19
1510,0.88,1
1511,0.87,2
1512,0.87,2
1513,0.86,1
1514,0.87,1
1515,0.89,1
1516,0.88,2
1517,0.87,1
1518,0.89,1
1519,0.9,1
1520,0.88,1
1521,0.88,2
1522,0.91,1
1523,0.89,1
1524,0.92,1
1525,0.9,2
1526,0.93,1
1527,0.98,1
1528,0.88,2
1529,0.9,1
1530,0.98,1
1531,0.96,1
1532,0.96,1
1533,0.95,1
1534,0.96,1
1535,0.98,1
1536,0.94,1
1537,0.91,1
1538,0.88,1
1539,0.87,2
1540,0.9,1
1541,0.94,3
1542,0.89,2
1543,0.91,1
1544,0.99,1
1545,0.93,1
1546,0.97,1
1547,0.93,2
1548,0.96,1
1549,0.9,1
1550,0.97,1
1551,0.85,2
1552,0.91,1
1553,0.93,1
1554,0.85,2
1555,0.92,1
1556,0.96,2
1557,0.83,2
1558,0.92,1
1559,0.92,2
1560,0.97,1
1561,0.97,1
1562,0.91,1
1563,0.92,2
1564,0.93,2
1565,0.92,1
1566,0.9,1
1567,0.97,1
1568,0.99,1
1569,0.91,2
1570,0.87,2
1571,0.89,2
1572,0.94,1
1573,0.78,3
1574,0.63,6
1575,0.22,21
1576,0.18,44
1577,0.13,31
1578,0.83,5
1579,0.93,1
1580,0.94,1
1581,0.9,3
1582,0.9,3
1583,0.97,1
1584,0.92,1
1585,0.91,2
1586,0.87,1
1587,0.82,3
1588,0.93,2
1589,0.91,1
1590,0.73,5
1591,0.46,32
1592,0.2,20
1593,0.42,20
1594,0.21,55
1595,0.9,1
1596,0.82,8
1597,0.88,2
1598,0.91,1
1599,0.93,2
1600,0.87,2
1601,0.91,1
1602,0.91,1
1603,0.91,3
1604,0.71,4
1605,0.65,9
1606,0.2,25
1607,0.79,6
1608,0.77,3
1609,0.14,32
1610,0.07,36
1611,0.28,22
1612,0.21,25
1613,0.58,13
1614,0.85,2
1615,0.42,41
1616,0.0,100
1617,0.41,34
1618,0.84,4
1619,0.91,1
1620,0.91,2
1621,0.57,17
1622,0.33,40
1623,0.32,14
1624,0.06,56
1625,0.02,63
1626,0.19,56
1627,0.46,18
1628,0.1,38
1629,0.24,52
1630,0.81,4
1631,0.11,87
1632,0.22,78
1633,0.95,1
1634,0.9,3
1635,0.77,5
1636,0.89,1
1637,0.97,1
1638,0.78,11
1639,0.96,1
1640,0.98,1
1641,0.82,2
1642,0.88,3
1643,0.89,2
1644,0.81,4
1645,0.41,18
1646,0.8,5
1647,0.86,2
1648,0.89,2
1649,0.92,1
1650,0.87,2
1651,0.92,1
1652,0.91,2
1653,0.89,1
1654,0.87,2
1655,0.97,1
1656,0.89,1
1657,0.91,1
